rank,Team_Names,Matches_Played,Wins,Losses,Ties,Score_Diff,Points
1,Jaipur Pink Panthers,22,15,6,1,174,82
2,Puneri Paltan,22,14,6,2,66,80
3,Bengaluru Bulls,22,13,8,1,39,74
4,U.P. Yoddhas,22,12,8,2,42,71
5,Tamil Thalaivas,22,10,8,4,5,66
6,Dabang Delhi K.C.,22,10,10,2,17,63
7,Haryana Steelers,22,10,10,2,16,61
8,Gujarat Giants,22,9,11,2,-16,59
9,U Mumba,22,10,12,0,-28,56
10,Patna Pirates,22,8,11,3,-58,54
11,Bengal Warriors,22,8,11,3,-12,53
12,Telugu Titans,22,2,20,0,-245,15
