rank,Team_Names,Matches_Played,Wins,Losses,Ties,Score_Diff,Points
1,Gujarat Giants,22,15,4,3,126,87
2,Puneri Paltan,22,15,7,0,91,80
3,Haryana Steelers,22,13,5,4,40,79
4,U Mumba,22,10,12,0,-50,56
5,Jaipur Pink Panthers,22,8,13,1,-91,51
6,Dabang Delhi K.C.,22,5,16,1,-134,38
1,Bengal Warriors,22,15,5,6,19,77
2,Patna Pirates,22,15,7,5,60,71
3,U.P. Yoddha,22,13,10,4,2,60
4,Bengaluru Bulls,22,10,11,3,10,57
5,Telugu Titans,22,8,12,3,-2,52
6,Tamil Thalaivas,22,5,14,2,-71,46
