rank,Team_Names,Matches_Played,Wins,Losses,Ties,Score_Diff,Points
1,Patna Pirates,22,16,5,1,120,86
2,Dabang Delhi K.C.,22,12,6,4,-3,75
3,U.P. Yoddhas,22,10,9,3,33,68
4,Gujarat Giants,22,10,8,4,2,67
5,Bengaluru Bulls,22,11,9,2,53,66
6,Puneri Paltan,22,12,9,1,33,66
7,Haryana Steelers,22,10,9,3,-28,64
8,Jaipur Pink Panthers,22,10,10,2,14,63
9,Bengal Warriors,22,9,10,3,-18,57
10,U Mumba,22,7,10,5,-34,55
11,Tamil Thalaivas,22,5,11,6,-42,47
12,Telugu Titans,22,1,17,4,-130,27
