rank,Team_Names,Matches_Played,Wins,Losses,Ties,Score_Diff,Points
1,Gujarat Giants,22,17,3,2,117,93
2,U Mumba,22,15,5,2,189,86
3,Dabang Delhi K.C.,22,11,9,2,-1,68
4,Puneri Paltan,22,8,12,2,-45,52
5,Jaipur Pink Panthers,22,6,13,3,-69,43
6,Haryana Steelers,22,6,14,2,-91,42
1,Bengaluru Bulls,22,17,7,2,104,78
2,Bengal Warriors,22,15,8,2,2,69
3,U.P. Yoddha,22,11,10,4,-45,57
4,Patna Pirates,22,8,11,2,-36,55
5,Telugu Titans,22,6,13,1,-55,51
6,Tamil Thalaivas,22,6,13,4,-70,42
